name	ra	dec
GX304-1	195.321	-61.602
GX339-4	255.706	-48.79
GX340+0	251.449	-45.6111
GX349+2	256.435	-36.423
GX354-0	262.988	-33.834
GX359+2	264.65	-28.483
GX3+1	266.983	-26.564
GX5-1	270.284	-25.078
GX9+1	270.385	-20.529
GX9+9	262.934	-16.962
GAMCAS	14.1772	60.7167
GAMMACYG	305.557	40.257
GEMINGA	98.475	17.767
GINGA1354-645	209.541	-64.735
GINGA1826-238	277.368	-23.797
GINGA1843+00	281.404	0.863
GINGA2000+251	300.707	25.236
GINGA2138+56	324.878	56.986
GRANAT1716-249	259.904	-25.018
GRANATJ1741.9-2853	266.26	-28.914
H1145-619	177.0	-62.207
H1254-690	194.404	-69.288
H1417-624	215.3	-62.698
H1426+428	217.136	42.673
H1517+656	229.45	65.42
H1538-522	235.597	-52.386
H1553-542	239.455	-54.414
H1608-522	243.179	-52.423
H1658-298	255.525	-29.95
H1705-250	257.05	-25.083
H1705-440	257.225	-44.102
H1745-203	267.225	-20.367
H1755-338	269.675	-33.817
H1820-303	275.919	-30.361
H1822-000	276.342	-0.012
H1907+097	287.408	9.83
HD101379	174.875	-65.3978
HD163621	268.853	36.1889
HD22403	54.2958	25.9911
HD283750	69.2008	27.1322
HD305560	161.619	-60.564
HD8357	20.7367	7.41917
HESSJ0632+057	98.247	5.8
HKLAC	331.236	47.2344
HR1099	54.1971	0.587778
HR5110	203.699	37.1825
HR7275	287.108	52.4258
HR9024	357.421	36.4253
HT1900.1-2455	285.036	-24.9205
HERX-1	254.457	35.342
IC310	49.179	41.325
IC4329A	207.33	-30.309
IC5063	313.008	-57.0692
IGRJ00234+6141	5.74	61.685
IGRJ00291+5934	7.263	59.572
IGRJ00370+6122	9.29	61.36
IGRJ00569-7226	14.26	-72.432
IGRJ01054-7253	16.176	-72.901
IGRJ01217-7257	20.419	-72.956
IGRJ01363+6610	24.075	66.175
IGRJ01572-7259	29.317	-72.976
IGRJ05414-6858	85.358	-68.973
IGRJ06074+2205	91.85	22.083
IGRJ07597-3842	119.924	-38.732
IGRJ08023-6954	120.57	-69.91
IGRJ08408-4503	130.197	-45.058
IGRJ10109-5746	152.762	-57.804
IGRJ10252-6829	156.252	-68.457
IGRJ10404-4625	160.093	-46.424
IGRJ11085-5100	167.21	-51.042
IGRJ11215-5952	170.438	-59.867
IGRJ11305-6256	172.779	-62.947
IGRJ11321-5311	173.025	-53.183
IGRJ11435-6109	176.001	-61.127
IGRJ12026-5349	180.698	-53.835
IGRJ12349-6434	188.724	-64.565
IGRJ12415-5750	190.357	-57.834
IGRJ13109-5552	197.68	-55.87
IGRJ14175-4641	214.265	-46.695
IGRJ14471-6319	221.78	-69.33
IGRJ14493-5534	222.29	-55.6
IGRJ14552-5133	223.81	-51.55
IGRJ14579-4308	224.421	-43.132
IGRJ15094-6649	227.358	-66.823
IGRJ15360-5750	234.0	-57.817
IGRJ15479-4529	237.06	-45.479
IGRJ16167-4957	244.155	-49.98
IGRJ16185-5928	244.652	-59.455
IGRJ16195-4945	244.884	-49.742
IGRJ16207-5129	245.193	-51.502
IGRJ16283-4838	247.045	-48.649
IGRJ16293-4603	247.339	-46.064
IGRJ16316-4028	247.9	-40.467
IGRJ16318-4848	247.949	-48.819
IGRJ16328-4726	248.158	-47.395
IGRJ16358-4726	248.974	-47.428
IGRJ16374-5043	249.306	-50.725
IGRJ16393-4643	249.775	-46.707
IGRJ16418-4532	250.463	-45.542
IGRJ16442-5548	251.088	-55.808
IGRJ16465-4507	251.648	-45.118
IGRJ16479-4514	251.99	-45.201
IGRJ16482-3036	252.063	-30.584
IGRJ16493-4348	252.362	-43.819
IGRJ16558-4150	253.95	-41.83
IGRJ16558-5203	254.023	-52.061
IGRJ16597-3704	254.887	-37.1207
IGRJ17009+3559	255.222	35.998
IGRJ17091-3624	257.282	-36.407
IGRJ17098-3628	257.441	-36.466
IGRJ17177-3656	259.428	-36.934
IGRJ17191-2821	259.808	-28.327
IGRJ17195-4100	259.898	-41.015
IGRJ17200-3116	260.025	-31.284
IGRJ17252-3616	261.297	-36.283
IGRJ17254-3257	261.356	-32.955
IGRJ17285-2922	262.171	-29.382
IGRJ17303-0601	262.59	-5.993
IGRJ17331-2406	263.304	-24.143
IGRJ17354-3255	263.854	-32.938
IGRJ17361-4441	264.073	-44.735
IGRJ17375-3022	264.395	-30.382
IGRJ17379-3747	264.495	-37.772
IGRJ17391-3021	264.796	-30.344
IGRJ17407-2808	265.172	-28.147
IGRJ17451-3022	266.278	-30.3788
IGRJ17460-3047	266.58	-30.791
IGRJ17464-3213	266.565	-32.234
IGRJ17473-2721	266.825	-27.344
IGRJ17475-2822	266.927	-28.374
IGRJ17488-3253	267.23	-32.914
IGRJ17494-3030	267.349	-30.5
IGRJ17497-2821	267.409	-28.3547
IGRJ17498-2921	267.481	-29.322
IGRJ17511-3057	267.786	-30.961
IGRJ17544-2619	268.605	-26.331
IGRJ17559-2612	268.99	-26.21
IGRJ17586-2129	269.644	-21.389
IGRJ17591-2342	269.762	-23.7195
IGRJ17597-2201	269.94	-22.028
IGRJ18027-1455	270.697	-14.915
IGRJ18027-2016	270.666	-20.287
IGRJ18135-1751	273.363	-17.849
IGRJ18151-1052	273.79	-10.88
IGRJ18159-3353	273.989	-33.89
IGRJ18173-2509	274.342	-25.144
IGRJ18175-1530	274.393	-15.511
IGRJ18179-1621	274.468	-16.359
IGRJ18245-2452	276.135	-24.869
IGRJ18284-0345	277.125	-3.762
IGRJ18325-0756	278.125	-7.933
IGRJ18410-0535	280.252	-5.596
IGRJ18450-0435	281.259	-4.565
IGRJ18462-0223	281.567	-2.387
IGRJ18483-0311	282.071	-3.172
IGRJ18539+0727	283.475	7.45
IGRJ19112+1358	287.803	13.981
IGRJ19140+0951	288.518	9.883
IGRJ19294+1816	292.483	18.311
IGRJ19566+0326	299.162	3.445
IGRJ20187+4041	304.661	40.683
IGRJ20188+3647	304.7	36.792
IGRJ21117+3427	317.948	34.462
IGRJ21247+5058	321.164	50.974
IIPEG	358.767	28.6336
IMPEG	343.26	16.8411
IRAS09149-6206	139.039	-62.325
IVSB2331+073	353.553	7.60765
JVASB1036+054	159.695	5.20808
KS1731-260	263.55	-26.1
KS1947+300	297.39	30.213
KUV00311-1938	8.393	-19.359
KZAND	347.489	47.9583
KES73	280.331	-4.936
LEDA75476	89.5085	-38.3346
LMCX-1	84.912	-69.743
LMCX-2	80.1168	-71.9648
LMCX-3	84.7342	-64.0823
LMCX-4	83.206	-66.37
LQHYA	143.107	-11.1847
LSI+61303	40.1319	61.2293
LSV+4417	70.247	44.53
LXPER	48.3433	48.1086
LAMBDAAND	354.391	46.4581
M87	187.706	12.3911
MAXIJ0158-744	29.858	-74.257
MAXIJ0556-332	89.193	-33.174
MAXIJ0636+146	99.3508	14.6314
MAXIJ0758-456	120.321	-46.391
MAXIJ1305-704	196.735	-70.451
MAXIJ1348-630	207.054	-63.274
MAXIJ1409-619	212.011	-61.984
MAXIJ1421-613	215.408	-61.607
MAXIJ1535-571	233.832	-57.23
MAXIJ1543-564	235.822	-56.414
MAXIJ1621-501	245.092	50.0199
MAXIJ1647-227	252.051	-23.015
MAXIJ1659-152	254.757	-15.258
MAXIJ1727-203	261.971	-20.389
MAXIJ1807-228	271.96	-22.8
MAXIJ1807+132	272.032	13.2513
MAXIJ1813-095	273.391	-9.5334
MAXIJ1820+070	275.091	7.18563
MAXIJ1828-249	277.244	-25.029
MAXIJ1836-194	278.931	-19.32
MAXIJ1932+091	293.293	9.19473
MCG-01-13-025	72.9229	-3.80944
MCG-01-24-012	140.193	-8.05608
MCG-03-34-064	200.602	-16.7286
MCG-5-23-16	146.917	-30.949
MCG-6-30-15	203.974	-34.295
MCG+04-22-042	140.929	22.9092
MCG+04-48-002	307.146	25.7336
MCG+09-21-096	195.998	53.7917
MCG+8-11-11	88.723	46.439
MS1050.7+4946	163.434	49.499
MXB0656-072	104.572	-7.21
MRK110	141.304	52.2863
MRK1148	12.978	17.433
MRK1210	121.024	5.114
MRK1498	247.017	51.7753
MRK180	174.11	70.1576
MRK279	208.264	69.308
MRK290	233.968	57.9026
MRK3	93.9013	71.0375
MRK417	162.379	22.9644
MRK421	166.114	38.209
MRK463	209.012	18.371
MRK501	253.467	39.76
MRK509	311.041	-10.723
MRK6	103.051	74.4269
MRK704	139.608	16.305
MRK79	115.637	49.8093
MRK813	216.854	19.831
MRK817	219.092	58.794
MRK926	346.181	-8.68572
NGC104	6.024	72.081
NGC1142	43.8013	-0.183806
NGC1275	49.95	41.512
NGC1365	53.4013	-36.1408
NGC1566	65.0017	-54.9378
NGC2110	88.0474	-7.45622
NGC235	10.72	-23.541
NGC253	11.9	-25.283
NGC262	12.1964	31.957
NGC2622	129.546	24.8953
NGC2770	137.378	33.139
NGC2992	146.425	-14.3264
NGC3081	149.873	-22.8263
NGC3227	155.878	19.8649
NGC3281	157.967	-34.8537
NGC3516	166.698	72.569
NGC3783	174.757	-37.739
NGC4051	180.79	44.5313
NGC4074	181.124	20.3162
NGC4102	181.596	52.7109
NGC4138	182.374	43.685
NGC4151	182.633	39.406
NGC4388	186.445	12.662
NGC4507	188.903	-39.909
NGC454	18.5955	-55.3988
NGC4593	189.914	-5.34425
NGC4945	196.363	-49.468
NGC4992	197.273	11.634
NGC5252	204.567	4.54236
NGC526	20.9758	-35.0653
NGC5506	213.312	-3.208
NGC5548	214.498	25.137
NGC5728	220.6	-17.2531
NGC5920	230.466	7.70869
NGC612	23.4904	-36.493
NGC6240	253.246	2.4
NGC6300	259.248	-62.821
NGC6440	257.91	-3.382
NGC6814	295.669	-10.324
NGC6860	302.195	-61.1
NGC7172	330.508	-31.87
NGC7213	332.318	-47.1668
NGC7314	338.942	-26.0505
NGC7469	345.816	8.87386
NGC7582	349.598	-42.371
NGC7603	349.736	0.244
NGC788	30.2769	-6.81586
NGC863	33.64	-0.76675
NGC931	37.0608	31.3109
NGC985	38.6574	-8.78761
NOVAPUPPIS2007	124.075	-34.257
NRAO190	70.65	-0.283
NSV1436	60.658	42.843
NOVACYG2008	295.758	32.321
NOVADEL2013	305.878	20.768
NOVAMUS1991	171.6	-68.683
NOVASAGITTARI2008	271.495	-27.232
NOVASCO	254.42	-32.3434
NOVASCO2014	258.945	-31.475
NOVASGR2015_2	279.237	-28.928
OX169	325.898	17.73
O+HCLUSTER	258.103	-23.35
PG1246+586	192.078	58.341
PKS0048-071	12.784	-6.834
PKS0116-219	19.738	-21.692
PKS0118-272	20.132	-27.023
PKS0142-278	26.264	-27.56
PKS0202-17	31.24	-17.022
PKS0227-369	37.368	-36.732
PKS0235-618	39.222	-61.604
PKS0244-470	41.5	-46.855
PKS0250-225	43.199	-22.324
PKS0301-243	45.86	-24.12
PKS0332-403	53.557	-40.14
PKS0347-211	57.491	-21.047
PKS0402-362	60.974	-36.084
PKS0405-385	61.746	-38.441
PKS0426-380	67.168	-37.939
PKS0447-439	72.353	-43.836
PKS0454-234	74.263	-23.414
PKS0516-621	79.187	-62.118
PKS0528+134	82.735	13.532
PKS0548-322	87.6692	-32.2712
PKS0648-16	102.602	-16.6277
PKS0700-661	105.13	-66.179
PKS0742+10	116.388	10.1869
PKS0823-223	126.507	-22.507
PKS0907+022	137.416	2.001
PKS1057-79	164.68	-80.065
PKS1118-056	170.355	-5.899
PKS1144-379	176.756	-38.203
PKS1213-17	183.945	-17.5293
PKS1244-255	191.695	-25.797
PKS1329-049	203.018	-5.162
PKS1352-104	208.694	-10.684
PKS1424-418	216.985	-42.105
PKS1454-354	224.361	-35.652
PKS1508-05	227.723	-5.719
PKS1551+130	238.386	12.948
PKS1622-253	246.445	-25.46
PKS1622-297	246.525	-29.857
PKS1717+177	259.804	17.752
PKS1830-211	278.416	-21.061
PKS1908-201	287.79	-20.11
PKS2005-489	302.356	-48.8316
PKS2023-07	306.419	-7.598
PKS2144+092	326.792	9.496
PKS2155-304	329.725	-30.217
PKS2204-54	331.932	-53.776
PKS2233-148	339.142	-14.556
PKS2325+093	351.89	9.669
PMNJ0100+0745	15.086	7.763
PMNJ0532+0732	83.1625	7.54537
PMNJ0948+0022	147.243	0.371
PMNJ1802-3940	270.678	-39.669
PMNJ2017+0603	304.303	6.053
PMNJ2345-1555	356.302	-15.919
PQGEM	117.822	14.74
PSRB0540-69.3	85.0322	-69.3348
PSRB1055-52	164.5	-52.45
PSRB1259-63	195.7	-63.833
PSRB1509-58	228.481	-59.136
PSRB1706-44	257.4	-44.517
PSRB1951+32	298.25	32.883
PSRJ0007+7303	1.756	73.052
PSRJ0030+0451	7.614	4.861
PSRJ0146+61	26.5934	61.7509
PSRJ0613-0200	93.433	-2.013
PSRJ0631+1036	97.865	10.617
PSRJ0633+06	98.387	6.578
PSRJ1023+0038	155.949	0.645
PSRJ1028-5819	157.117	-58.318
PSRJ1048-5832	162.051	-58.535
PSRJ1459-60	224.874	-60.937
PSRJ1509-5850	227.363	-58.849
PSRJ1732-31	263.14	-31.523
PSRJ1741-2054	265.54	-20.916
PSRJ1809-2332	272.399	-23.52
PSRJ1826-1256	276.504	-13.091
PSRJ1836+5925	279.854	59.321
PSRJ1907+06	286.918	5.954
PSRJ2021+3651	305.269	36.857
PSRJ2021+4026	305.398	40.439
PSRJ2124-3358	321.183	-33.97
PSRJ2229+6114	337.271	61.237
PICTORA	79.957	-45.779
PROXCEN	217.429	-62.6794
QSOB0003-066	1.55789	-6.39315
QSOB0007+107	2.62919	10.9749
QSOB0016+73	4.94078	73.4583
QSOB0033+595	8.96929	59.8346
QSOB0048-09	12.6722	-9.48478
QSOB0109+224	18.0243	22.7441
QSOB0119+115	20.4233	11.8307
QSOB0121-590	20.9417	-58.8066
QSOB0133+476	24.2441	47.8581
QSOB0202+149	31.2	15.233
QSOB0202+319	31.2705	32.2084
QSOB0208-5115	32.692	-51.017
QSOB0212+735	34.3784	73.8257
QSOB0229+200	38.2025	20.2881
QSOB0238-084	40.27	-8.25576
QSOB0241+62	41.2404	62.4685
QSOB0317+183	49.966	18.759
QSOB0323+022	51.5582	2.42075
QSOB0336-0156	54.8789	-1.77661
QSOB0347-121	57.3467	-11.9908
QSOB0403-132A	61.3917	-13.1371
QSOB0414+009	64.2208	1.0817
QSOB0422+004	66.1952	0.601758
QSOB0446+113	72.282	11.3579
QSOB0502+675	76.9846	67.6233
QSOB0513-002	79.0478	-0.150167
QSOB0521-365	80.7416	-36.4586
QSOB0529+483	83.3161	48.3813
QSOB0537-441	84.7098	-44.0858
QSOB0558-504	89.948	-50.448
QSOB0605-0834	91.9987	-8.58055
QSOB0607-157	92.4206	-15.7113
QSOB0647+250	102.694	25.05
QSOB0706+591	107.625	59.139
QSOB0716+714	110.475	71.333
QSOB0730+504	113.469	50.3692
QSOB0736+01	114.825	1.61795
QSOB0748+126	117.717	12.518
QSOB0754+10	119.278	9.94301
QSOB0804+4959	122.165	49.8435
QSOB0805-077	122.065	-7.85275
QSOB0806+524	122.455	52.3161
QSOB0808+019	122.861	1.78117
QSOB0814+425	124.567	42.3793
QSOB0823+033	126.46	3.15681
QSOB0829+047	127.954	4.49419
QSOB0917+449	140.243	44.698
QSOB0917+624	140.401	62.2645
QSOB0927+500	142.657	49.84
QSOB0954+65	149.697	65.565
QSOB1011+496	153.767	49.4335
QSOB1028+511	157.827	50.893
QSOB1045-188	162.028	-19.1599
QSOB1124-186	171.768	-18.9548
QSOB1212+078	183.8	7.53889
QSOB1215+303	184.467	30.1168
QSOB1218+304	185.341	30.177
QSOB1219+285	185.375	28.233
QSOB1255+244	194.383	24.2111
QSOB1324+224	201.754	22.1806
QSOB1334-127	204.416	-12.9569
QSOB1406-074	212.235	-7.874
QSOB1413+135	213.995	13.3399
QSOB1417+385	214.944	38.3635
QSOB1437+398	219.823	39.5452
QSOB1440+122	220.701	12.0111
QSOB1502+1041	226.104	10.4942
QSOB1504-167	226.77	-16.8751
QSOB1514-241	229.424	-24.372
QSOB1533+535	233.755	53.345
QSOB1542+614	235.737	61.499
QSOB1546+0246	237.373	2.61699
QSOB1553+113	238.929	11.1901
QSOB1611+3420	243.421	34.2133
QSOB1638+3952	250.123	39.7795
QSOB1655+077	254.538	7.69098
QSOB1722+119	261.268	11.871
QSOB1726+455	261.865	45.511
QSOB1727+502	262.078	50.2196
QSOB1730-130	263.261	-13.0804
QSOB1739+522	265.154	52.1954
QSOB1741-038	265.995	-3.83462
QSOB1758+38	270.103	38.8085
QSOB1800+440	270.385	44.0728
QSOB1936-155	294.861	-15.4286
QSOB1958-179	300.238	-17.816
QSOB2005+40	301.937	40.4968
QSOB2008-159	302.815	-15.7778
QSOB2021+614	305.528	61.6163
QSOB2052-474	314.068	-47.247
QSOB2128-123	322.897	-12.118
QSOB2134+0028	324.161	0.698393
QSOB2136-428	324.851	-42.589
QSOB2136+1410	324.755	14.3933
QSOB2149-306	327.981	-30.4649
QSOB2155-152	329.526	-15.0193
QSOB2200+420	330.68	42.2778
QSOB2201+1711	330.862	17.4301
QSOB2209+184	332.974	18.6976
QSOB2209+236	333.025	23.9279
QSOB2227-0848	337.417	-8.54845
QSOB2251-179	343.525	-17.582
QSOB2255-2814	344.525	-27.9726
QSOB2300-189	345.76	-18.6903
QSOB2345-167	357.011	-16.52
QSOB2356-309	359.783	-30.6272
QSOJ0209+5226	32.393	52.443
QSOJ0217+0144	34.454	1.74714
QSOJ0221+3556	35.272	35.937
QSOJ0423-0120	65.8158	-1.34252
QSOJ0555+3948	88.8784	39.8137
QSOJ0646+4451	101.633	44.8546
QSOJ0730-116	112.58	-11.6868
QSOJ0738+1742	114.531	17.7053
QSOJ0741+3111	115.295	31.2001
QSOJ0830+2411	127.717	24.1833
QSOJ1016+0513	154.013	5.217
QSOJ1130-1449	172.529	-14.8243
QSOJ1512-0906	228.211	-9.09995
QSOJ1638+5720	249.556	57.34
QSOJ2123+0535	320.935	5.58947
QSOJ2246-1206	341.576	-12.1142
RGBJ0136+391	24.136	39.1
RGBJ0152+017	28.166	1.789
RGBJ0214+517	33.5751	51.7478
RGBJ0227+020	36.8191	2.033
RGBJ0314+247	48.5117	24.7419
RGBJ0324.7+3410	51.1715	34.1794
RGBJ0643+422	100.862	42.2386
RGBJ1012+424	153.185	42.4997
RGBJ1058+564	164.657	56.4698
RGBJ1341+399	205.27	39.995
RGBJ1413+436	213.432	43.6625
RGBJ1629+401	247.255	40.1333
